regulon	gene	cor	p	r2	Ensembl	in_Oxphos_68_Porcelli_list	is_in_TF_list
SCENIC_E(spl)m8-HLH_activating_regulon	E(spl)m8-HLH	-0.106660252513136	1.27696678853094e-59	0.011376409466166	FBgn0000591	FALSE	TRUE
SCENIC_Vsx2_activating_regulon	Vsx2	-0.107600490392776	1.19325142650285e-60	0.0115778655327658	FBgn0263512	FALSE	TRUE
SCENIC_da_activating_regulon	da	-0.107821087968663	6.82141673202391e-61	0.0116253870107462	FBgn0267821	FALSE	TRUE
SCENIC_hbn_activating_regulon	hbn	-0.108134767125339	3.07377902389726e-61	0.0116931278612514	FBgn0008636	FALSE	TRUE
SCENIC_CG17806_activating_regulon	CG17806	-0.110231076231829	1.40526889894344e-63	0.0121508901672272	FBgn0038548	FALSE	TRUE
SCENIC_nub_activating_regulon	nub	-0.110324996192417	1.10117339711747e-63	0.0121716047848567	FBgn0085424	FALSE	TRUE
SCENIC_CG13287_activating_regulon	CG13287	-0.11226807574806	6.76464964895175e-66	0.0126041208321721	FBgn0035643	FALSE	TRUE
SCENIC_Plzf_activating_regulon	Plzf	-0.113185816526339	5.91558706585646e-67	0.0128110290627341	FBgn0032401	FALSE	TRUE
SCENIC_oc_activating_regulon	oc	-0.113983709938651	6.99535061576825e-68	0.0129922861313785	FBgn0004102	FALSE	TRUE
SCENIC_CG6272_activating_regulon	CG6272	-0.11411716126605	4.88747654361799e-68	0.0130227264954217		FALSE	TRUE
SCENIC_CG1663_activating_regulon	CG1663	-0.116723256188695	4.0808520820824e-71	0.0136243185352918	FBgn0033449	FALSE	TRUE
SCENIC_CG32767_activating_regulon	CG32767	-0.116831783542017	3.02704295129735e-71	0.0136496656456086	FBgn0052767	FALSE	TRUE
SCENIC_ftz_activating_regulon	ftz	-0.116878125266235	2.66430986309069e-71	0.0136604961657496	FBgn0001077	FALSE	TRUE
SCENIC_CG31612_activating_regulon	CG31612	-0.117292681488189	8.48583541903973e-72	0.0137575731306897	FBgn0051612	FALSE	TRUE
SCENIC_dve_activating_regulon	dve	-0.117900068383329	1.57554125976261e-72	0.0139004261247937	FBgn0020307	FALSE	TRUE
SCENIC_Vsx1_activating_regulon	Vsx1	-0.118128154618913	8.35271894711729e-73	0.0139542609136699	FBgn0263511	FALSE	TRUE
SCENIC_CG17802_activating_regulon	CG17802	-0.118173141729442	7.36893301420349e-73	0.0139648914262069	FBgn0038549	FALSE	TRUE
SCENIC_CG11696_activating_regulon	CG11696	-0.119237244717751	3.7490875997244e-74	0.0142175205278807	FBgn0030314	FALSE	TRUE
SCENIC_Met_activating_regulon	Met	-0.12077026178369	4.89326022942215e-76	0.0145854561313009	FBgn0002723	FALSE	TRUE
